alpha          TP        FP        TN        FN        sensitivity         averageSquareTrim   leftMedian          rightMedian         leftMedianPositive  rightMedianPositive leftMedianNegative  rightMedianNegative
0.001          983       6         0         17        0.983               0.212614445575      0                   0                   0                   0                   -1                  -1                                      
0.001          986       6         0         14        0.986               0.110547667343      0.0                 0.0                 0                   0                   -2.0                -1                                      
0.001          991       4         0         9         0.991               0.0867810292634     0                   0                   0                   0                   -1.5                -2                                      
0.001          988       6         0         12        0.988               6.51113360324       0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.001          993       4         0         7         0.993               0.945619335347      0                   0                   0                   0                   -1.0                -1.5                                    
0.001          993       3         0         7         0.993               0.0443101711984     0                   0                   0                   0                   -1.0                -1.0                                    
0.001          985       6         0         15        0.985               11.1715736041       0                   0                   0                   0                   -1                  -1                                      
0.001          990       6         0         10        0.99                2.75353535354       0.0                 0.0                 0                   0                   -1.5                -1                                      
0.001          988       3         0         12        0.988               0.0566801619433     0.0                 0.0                 0                   0                   -1                  -1                                      
0.001          989       8         0         11        0.989               3.75834175935       0                   0                   0                   0                   -1                  -1.0                                    
0.001          990       5         0         10        0.99                0.856565656566      0.0                 0.0                 0                   1                   -1                  -1.0                                    
0.001          993       2         0         7         0.993               14.0302114804       0                   0                   0                   1.0                 -1                  -1                                      
0.001          989       2         0         11        0.989               3.82912032356       0                   0                   0                   1                   -1                  -1.5                                    
0.001          990       5         0         10        0.99                0.0424242424242     0.0                 0.0                 0                   1                   -1                  -1.5                                    
0.001          989       3         0         11        0.989               0.0990899898888     0                   0                   0                   0                   -2                  -1.0                                    
0.001          990       5         0         10        0.99                8.44949494949       0.0                 0.0                 0                   0                   -1                  -1                                      
0.001          988       4         0         12        0.988               0.084008097166      0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.001          988       6         0         12        0.988               0.0728744939271     0.0                 0.0                 1                   0                   -1.0                -1                                      
0.001          981       12        0         19        0.981               16.6177370031       0                   0                   0                   0                   -1                  -1.0                                    
0.001          989       4         0         11        0.989               7.6026289181        0                   0                   0                   0                   -1                  -2                                      
0.001          981       7         0         19        0.981               0.107033639144      0                   0                   0                   0                   -1                  -1                                      
0.001          993       2         0         7         0.993               1.88821752266       0                   0                   0                   0                   -1.0                -1                                      
0.001          992       3         0         8         0.992               14.8407258065       0.0                 0.0                 0                   0                   -1                  -2.0                                    
0.001          988       5         0         12        0.988               0.0344129554656     0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.001          993       3         0         7         0.993               2.47331319235       0                   0                   0                   0                   -1.0                -1.0                                    
0.001          989       3         0         11        0.989               0.278058645096      0                   0                   0                   0                   -1                  -1.5                                    
0.001          990       7         0         10        0.99                0.0454545454545     0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.001          988       4         0         12        0.988               13.6518218623       0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.001          982       8         0         18        0.982               10.7209775967       0.0                 0.0                 0                   0                   -1.0                -2.0                                    
0.001          993       3         0         7         0.993               0.123867069486      0                   0                   0                   0                   -1.0                -2.0                                    
0.001          986       8         0         14        0.986               0.102434077079      0.0                 0.0                 0                   0                   -1                  -1                                      
0.001          990       3         0         10        0.99                9.46060606061       0.0                 0.0                 0                   0                   -2                  -1                                      
0.001          987       6         0         13        0.987               10.5916919959       0                   0                   0                   1                   -1                  -1.0                                    
0.001          988       6         0         12        0.988               4.94939271255       0.0                 0.0                 0                   0                   -1.0                -1.5                                    
0.001          988       5         0         12        0.988               0.101214574899      0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.001          994       2         0         6         0.994               0.323943661972      0.0                 0.0                 0                   0                   -1.5                -2.0                                    
