alpha          TP        FP        TN        FN        sensitivity         averageSquareTrim   leftMedian          rightMedian         leftMedianPositive  rightMedianPositive leftMedianNegative  rightMedianNegative
0.01           982       9         0         18        0.982               0.459266802444      0.0                 0.0                 0                   0                   -1.0                -1                                      
0.01           987       2         0         13        0.987               6.68895643364       0                   0                   0                   0                   -1                  -1                                      
0.01           986       4         0         14        0.986               0.408722109533      0.0                 0.0                 0                   1                   -1                  -1.0                                    
0.01           988       4         0         12        0.988               6.39170040486       0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.01           982       9         0         18        0.982               25.3778004073       0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.01           995       2         0         5         0.995               7.54773869347       0                   0                   0                   0                   -1                  -1.0                                    
0.01           984       6         0         16        0.984               6.5924796748        0.0                 0.0                 0                   1                   -1                  -1.0                                    
0.01           991       1         0         9         0.991               6.61251261352       0                   0                   0                   0                   -1                  -1                                      
0.01           991       5         0         9         0.991               13.4369323915       0                   0                   1                   0                   -1.0                -1                                      
0.01           985       8         0         15        0.985               15.5055837563       0                   0                   0                   0                   -1.0                -1                                      
0.01           992       6         0         8         0.992               8.52822580645       0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.01           987       6         0         13        0.987               3.93515704154       0                   0                   0                   0                   -1.0                -1.0                                    
0.01           990       3         0         10        0.99                0.50404040404       0.0                 0.0                 0                   0                   -1                  -2                                      
0.01           979       7         0         21        0.979               11.0214504597       0                   0                   0                   0                   -1                  -1                                      
0.01           982       4         0         18        0.982               2.01018329939       0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.01           993       4         0         7         0.993               9.76132930514       0                   0                   0                   0                   -1                  -1.0                                    
0.01           987       6         0         13        0.987               3.86524822695       0                   0                   0                   0                   -1.0                -1                                      
0.01           990       4         0         10        0.99                7.74242424242       0.0                 0.0                 0                   1                   -1.0                -1                                      
0.01           981       11        0         19        0.981               14.7655453619       0                   0                   0                   0                   -1                  -1.0                                    
0.01           989       7         0         11        0.989               10.9312436805       0                   0                   0                   0                   -1                  -1.0                                    
0.01           990       6         0         10        0.99                0.416161616162      0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.01           987       5         0         13        0.987               10.5177304965       0                   0                   0                   0                   -1                  -1.0                                    
0.01           992       3         0         8         0.992               4.24193548387       0.0                 0.0                 0                   0                   -1.0                -1                                      
0.01           987       4         0         13        0.987               8.85207700101       0                   0                   0                   0                   -1                  -1.0                                    
0.01           990       3         0         10        0.99                10.7565656566       0.0                 0.0                 0                   0                   -1                  -1                                      
0.01           988       4         0         12        0.988               1.7995951417        0.0                 0.0                 0                   1.0                 -1.0                -1.0                                    
0.01           990       3         0         10        0.99                0.388888888889      0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.01           989       7         0         11        0.989               2.4570273003        0                   0                   0                   1                   -1                  -1.0                                    
0.01           990       4         0         10        0.99                0.428282828283      0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.01           989       5         0         11        0.989               0.794742163802      0                   0                   0                   0                   -1.0                -1.0                                    
0.01           987       8         0         13        0.987               4.04255319149       0                   0                   0                   0                   -1                  -1.0                                    
0.01           989       2         0         11        0.989               0.881698685541      0                   0                   0                   1                   -1                  -1                                      
0.01           986       5         0         14        0.986               9.41379310345       0.0                 0.0                 0                   0                   -1                  -1                                      
0.01           980       7         0         20        0.98                0.821428571429      0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.01           994       2         0         6         0.994               6.03219315895       0.0                 0.0                 0                   0                   -1.0                -1                                      
0.01           993       4         0         7         0.993               0.475327291037      0                   0                   0                   0                   -1.0                -1                                      
0.02           987       7         0         13        0.987               0.979736575481      0                   0                   0                   0                   -1                  -1.0                                    
0.02           990       3         0         10        0.99                14.0343434343       0.0                 0.0                 0                   0                   -1.0                -1                                      
0.02           987       10        0         13        0.987               1.16919959473       0                   0                   0                   0                   -1                  -1                                      
0.02           987       6         0         13        0.987               0.926038500507      0                   0                   0                   0                   -1.0                -1.0                                    
0.02           992       2         0         8         0.992               1.20665322581       0.0                 0.0                 0                   0                   -1.0                -1                                      
0.02           987       2         0         13        0.987               3.31509625127       0                   0                   0                   0                   -1                  -1.0                                    
0.02           989       4         0         11        0.989               8.55611729019       0                   0                   0                   0                   -1                  -1.0                                    
0.02           982       8         0         18        0.982               3.36761710794       0.0                 0.0                 0                   0                   -1.0                -1                                      
0.02           980       5         0         20        0.98                0.936734693878      0.0                 0.0                 0                   0                   -1.0                -1                                      
0.02           989       3         0         11        0.989               10.2103134479       0                   0                   0                   0                   -1                  -1                                      
0.02           989       4         0         11        0.989               3.79777553084       0                   0                   0                   0                   -1                  -1.0                                    
0.02           980       10        0         20        0.98                1.60408163265       0.0                 0.0                 0                   0                   -1.0                -1                                      
0.02           986       3         0         14        0.986               12.8864097363       0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.02           987       6         0         13        0.987               1.10334346505       0                   0                   0                   0                   -1.0                -1.0                                    
0.02           989       3         0         11        0.989               16.7987866532       0                   0                   0                   0                   -1.0                -1.0                                    
0.02           981       13        0         19        0.981               0.844036697248      0                   0                   0                   0                   -1                  -1                                      
0.02           993       0         0         7         0.993               0.850956696878      0                   0                   0                   0                   -1                  -1.0                                    
0.02           986       4         0         14        0.986               5.07910750507       0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.02           983       8         0         17        0.983               1.93997965412       0                   0                   0                   0                   -1.0                -1                                      
0.02           986       6         0         14        0.986               1.83468559838       0.0                 0.0                 0                   1.0                 -1                  -1.0                                    
0.02           985       4         0         15        0.985               4.29035532995       0                   0                   0                   0                   -1.0                -1.0                                    
0.02           986       6         0         14        0.986               5.97160243408       0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.02           985       9         0         15        0.985               12.7868020305       0                   0                   0                   0                   -1.0                -1.0                                    
