alpha          TP        FP        TN        FN        sensitivity         averageSquareTrim   leftMedian          rightMedian         leftMedianPositive  rightMedianPositive leftMedianNegative  rightMedianNegative
0.001          905       4         0         95        0.905               101.303867403       1                   1                   2                   2.0                 -1                  -1                                      
0.001          899       3         0         101       0.899               101.550611791       1                   1                   2                   3.0                 -1                  -1                                      
0.001          898       4         0         102       0.898               117.41091314        1.0                 1.0                 3.0                 3.0                 -1.0                -1                                      
0.001          922       3         0         78        0.922               101.305856833       1.0                 1.0                 3                   2.0                 -2.0                -1.0                                    
0.001          920       3         0         80        0.92                107.592391304       1.0                 1.0                 3                   2.0                 -1                  -1                                      
0.001          897       2         0         103       0.897               121.457079153       1                   1                   2                   2                   -1.0                -4.5                                    
0.001          909       3         0         91        0.909               80.8657865787       1                   1                   2.0                 2.0                 -1                  -1                                      
0.001          907       0         0         93        0.907               92.7320837927       1                   1                   3.0                 2                   -1                  -1.5                                    
0.001          899       2         0         101       0.899               80.7575083426       1                   1                   3                   2.0                 -1.0                -1.0                                    
0.001          904       5         0         96        0.904               119.975663717       2.0                 1.0                 2                   3.0                 -1.0                -1.0                                    
0.001          899       1         0         101       0.899               81.1412680756       1                   1                   2                   2.0                 -1                  -1                                      
0.001          920       2         0         80        0.92                83.8467391304       1.0                 1.0                 2                   2.0                 -1                  -1.0                                    
0.001          880       1         0         120       0.88                89.3056818182       1.0                 1.0                 2                   2.0                 -1                  -4.0                                    
0.001          894       2         0         106       0.894               135.554809843       1.0                 1.0                 2.0                 2.0                 -3                  -1                                      
0.001          886       1         0         114       0.886               85.0541760722       1.0                 1.0                 3.0                 3.0                 -1                  -1                                      
0.001          907       1         0         93        0.907               94.6019845645       1                   1                   2                   2                   -1.0                -2.0                                    
0.001          914       0         0         86        0.914               73.4256017505       1.0                 1.0                 2                   2                   0                   -1.0                                    
0.001          887       2         0         113       0.887               106.358511838       1                   1                   2.0                 2                   -2                  -2                                      
0.001          904       0         0         96        0.904               98.4103982301       1.0                 1.0                 2.0                 2.0                 -2.0                -1                                      
0.001          912       1         0         88        0.912               96.1567982456       1.0                 1.0                 3                   2.0                 -1                  -9                                      
0.001          902       1         0         98        0.902               70.7815964523       1.0                 1.0                 3                   2                   -1                  -1                                      
0.001          916       3         0         84        0.916               112.600436681       1.0                 1.0                 2                   2.0                 -2.0                -1.5                                    
0.001          903       0         0         97        0.903               82.3466223699       1                   1                   2                   2                   -1.0                -1.0                                    
0.001          911       1         0         89        0.911               71.7574094402       1                   1                   3                   2                   -1                  -2.0                                    
0.001          909       1         0         91        0.909               121.766776678       1                   1                   2                   3                   -1.5                -1.0                                    
0.001          913       3         0         87        0.913               83.8028477547       1                   1                   2.0                 2.0                 -2.5                -1                                      
0.001          908       2         0         92        0.908               108.354625551       1.0                 1.0                 3.0                 3                   -1                  -1.0                                    
0.001          925       2         0         75        0.925               82.9762162162       1                   1                   2.0                 2                   -1                  -3                                      
0.001          908       1         0         92        0.908               102.932819383       1.0                 1.0                 2.0                 3.0                 -1                  0                                       
0.001          912       2         0         88        0.912               89.6600877193       1.0                 1.0                 3                   2                   -1.5                -1                                      
0.001          892       1         0         108       0.892               143.25896861        1.0                 1.0                 3                   2.0                 -1                  -2                                      
0.001          914       1         0         86        0.914               91.5579868709       1.0                 1.0                 2                   2                   -1.0                -1                                      
0.001          899       1         0         101       0.899               67.2324805339       1                   1                   2                   2                   -1.0                -4.5                                    
0.001          911       1         0         89        0.911               78.5762897914       1                   1                   2                   2                   -1                  -9.5                                    
0.001          902       0         0         98        0.902               77.5299334812       1.5                 1.0                 3.0                 2                   -1                  -1.0                                    
0.001          909       1         0         91        0.909               105.101210121       1                   1                   2.0                 2                   -1.0                -2                                      
0.002          897       3         0         103       0.897               100.025641026       1                   1                   3                   3                   -1.0                -2                                      
0.002          908       1         0         92        0.908               106.95154185        1.0                 1.0                 2                   2                   -1.0                -1.0                                    
0.002          890       2         0         110       0.89                80.3876404494       1.0                 1.0                 2                   2                   -1.0                -1.0                                    
0.002          917       0         0         83        0.917               94.465648855        1                   1                   2.0                 2                   -1                  -2                                      
0.002          914       3         0         86        0.914               99.8894967177       1.0                 1.0                 2                   2                   -1                  -2.5                                    
0.002          899       2         0         101       0.899               110.890989989       1                   1                   3                   2.0                 -1                  -1.5                                    
0.002          915       1         0         85        0.915               108.424043716       1                   1                   2.0                 2                   -1                  -1                                      
0.002          909       0         0         91        0.909               94.3861386139       1                   1                   2                   3.0                 -1.0                -1                                      
0.002          917       3         0         83        0.917               79.2868047983       1                   1                   3.0                 2.0                 -1.0                -2                                      
0.002          904       0         0         96        0.904               94.9878318584       1.0                 1.0                 2.0                 3                   -3                  -1.5                                    
0.002          902       5         0         98        0.902               118.7172949         2.0                 1.0                 3                   3.0                 -2.0                -1                                      
0.002          900       2         0         100       0.9                 95.88               1.0                 1.0                 2                   2.0                 -1.0                -1.5                                    
0.002          908       0         0         92        0.908               64.4317180617       1.0                 1.0                 2                   2                   -1                  -1                                      
0.002          893       3         0         107       0.893               100.060470325       1                   1                   2                   3.0                 -1.0                -1                                      
0.002          902       0         0         98        0.902               69.177383592        1.0                 1.0                 2.0                 2.0                 -1                  -1                                      
0.002          894       2         0         106       0.894               121.544742729       1.0                 1.0                 2.0                 3                   -1.0                -1                                      
0.002          894       2         0         106       0.894               120.391498881       1.0                 1.0                 3                   3.0                 -1.0                -1.0                                    
0.002          902       4         0         98        0.902               112.905764967       1.0                 1.0                 2                   3.0                 -1.0                -1                                      
0.002          904       1         0         96        0.904               106.584070796       2.0                 1.0                 3.0                 3.0                 -1.0                -1.5                                    
0.002          915       1         0         85        0.915               149.944262295       1                   2                   2                   3.0                 -1                  -1                                      
0.002          892       1         0         108       0.892               101.00896861        1.0                 1.0                 3.0                 2.0                 -1                  -1.5                                    
0.002          920       1         0         80        0.92                81.5923913043       1.0                 1.0                 2.0                 3                   -1                  -1                                      
0.002          910       3         0         90        0.91                111.593406593       1.0                 2.0                 2.0                 3.0                 -1                  -1                                      
0.002          908       2         0         92        0.908               121.27092511        1.0                 1.0                 3                   2.0                 -1                  -1.0                                    
0.002          919       2         0         81        0.919               110.689880305       1                   1                   2                   2.0                 -1.0                -9.5                                    
0.002          917       3         0         83        0.917               102.208287895       1                   1                   2.0                 3.0                 -1.0                -2                                      
0.002          918       1         0         82        0.918               160.784313725       1.0                 1.0                 3                   2.5                 -1                  -14.5                                   
0.002          918       2         0         82        0.918               113.600217865       1.0                 1.0                 2                   3                   -1                  -1.0                                    
0.002          891       2         0         109       0.891               105.511784512       2                   1                   3                   3                   -1.0                -1                                      
0.002          896       1         0         104       0.896               120.458705357       1.0                 1.0                 3                   2                   -1                  -1.0                                    
0.002          904       5         0         96        0.904               108.026548673       1.0                 1.0                 2.0                 2.0                 -1.0                -1.0                                    
0.002          899       2         0         101       0.899               88.0901001112       1                   1                   2                   2                   -1                  -1                                      
0.002          919       0         0         81        0.919               100.86289445        1                   1                   3.0                 2.0                 -1                  -1                                      
0.002          902       2         0         98        0.902               132.0654102         2.0                 2.0                 3.0                 3                   -1                  -1.0                                    
0.002          904       1         0         96        0.904               76.6670353982       1.0                 1.0                 2                   3                   -1                  -3.5                                    
0.002          912       0         0         88        0.912               107.279605263       1.0                 1.0                 2                   2.0                 -1                  -1.0                                    
0.002          905       1         0         95        0.905               131.660773481       1                   1                   2                   3.0                 -1                  -1                                      
0.002          910       1         0         90        0.91                139.98021978        2.0                 1.0                 3.0                 2                   -1                  -1                                      
0.002          899       0         0         101       0.899               111.887652948       1                   1                   2.0                 2                   -1.0                -30.0                                   
0.002          910       2         0         90        0.91                119.907692308       1.0                 1.0                 2                   3                   -1.0                -1                                      
0.002          906       1         0         94        0.906               82.7185430464       1.0                 1.0                 3.0                 2.0                 -2                  -1                                      
0.002          917       1         0         83        0.917               116.242093784       1                   1                   2.0                 3.0                 -1.0                -1.0                                    
0.002          905       1         0         95        0.905               148.86519337        1                   1                   3.0                 2.0                 -1.0                -1                                      
0.002          916       4         0         84        0.916               85.1823144105       1.0                 1.0                 2.0                 2                   -1                  -1.0                                    
0.002          915       2         0         85        0.915               117.016393443       1                   1                   3.0                 2.0                 -1.0                -1                                      
0.002          906       1         0         94        0.906               92.9150110375       1.0                 1.0                 3                   2                   -1                  -6.5                                    
0.002          915       2         0         85        0.915               141.367213115       1                   2                   3                   3.0                 -1.0                -13                                     
0.002          907       0         0         93        0.907               115.371554576       1                   1                   2                   3                   -1                  -1.0                                    
0.002          921       0         0         79        0.921               102.601520087       1                   1                   2                   2.0                 -1                  -2.5                                    
0.002          919       0         0         81        0.919               104.319912949       1                   1                   2                   2.0                 -1.0                -1                                      
0.003          920       1         0         80        0.92                134.323913043       1.0                 1.0                 3.0                 3                   -1                  -1.0                                    
0.003          902       1         0         98        0.902               108.338137472       1.0                 1.0                 3.0                 3                   -1.0                -1                                      
0.003          900       2         0         100       0.9                 120.477777778       1.0                 1.0                 3                   3                   -1                  -1.0                                    
0.003          912       2         0         88        0.912               85.2532894737       1.0                 1.0                 3                   2.0                 -1                  -1.0                                    
0.003          891       1         0         109       0.891               75.0673400673       2                   1                   3.0                 2.0                 -1.0                -1.0                                    
0.003          905       1         0         95        0.905               83.417679558        1                   1                   3                   3.0                 -1.0                -1                                      
0.003          912       0         0         88        0.912               103.748903509       1.0                 1.0                 3                   3                   -1.0                -1                                      
0.003          904       0         0         96        0.904               121.496681416       2.0                 1.0                 3                   2.0                 -2                  -1.0                                    
0.003          903       3         0         97        0.903               93.0741971207       1                   1                   3.0                 2                   -1                  -1                                      
0.003          919       3         0         81        0.919               112.367791077       1                   1                   3.0                 2.0                 -1.0                0                                       
0.003          909       0         0         91        0.909               83.3872387239       1                   1                   2.0                 2.0                 -1.0                -1.0                                    
0.003          907       0         0         93        0.907               119.288864388       1                   1                   2.5                 2.0                 -1.0                -1                                      
0.003          895       3         0         105       0.895               108.992178771       1                   1                   3                   3                   -1.0                -1.0                                    
0.003          901       0         0         99        0.901               72.2941176471       1                   1                   2.5                 2                   -1                  -1.0                                    
0.003          913       2         0         87        0.913               123.568455641       1                   1                   2.0                 3.0                 -1                  -1                                      
0.003          897       1         0         103       0.897               80.4292084727       1                   1                   2.0                 3.0                 -1                  -1.0                                    
0.003          912       2         0         88        0.912               95.2324561404       1.0                 1.0                 2                   2                   -1                  -1                                      
0.003          905       3         0         95        0.905               141.354696133       1                   1                   2.5                 3                   -1.0                -1.0                                    
0.003          905       1         0         95        0.905               112.682872928       1                   1                   2                   3.0                 -1.0                -1.0                                    
0.003          895       0         0         105       0.895               120.252513966       1                   1                   3.0                 2                   -1                  -1.0                                    
0.003          908       1         0         92        0.908               102.526431718       1.0                 1.0                 2.0                 3.0                 -1.0                -1                                      
0.003          911       3         0         89        0.911               145.765093304       1                   1                   3                   3.0                 -1                  -1.0                                    
0.003          884       0         0         116       0.884               117.101809955       1.0                 2.0                 3                   3                   -1.0                -1.0                                    
0.003          893       2         0         107       0.893               90.9294512878       1                   1                   2.0                 2.0                 -1.0                -1                                      
0.003          908       0         0         92        0.908               102.383259912       1.0                 1.0                 2                   2                   -1                  -1                                      
0.003          890       1         0         110       0.89                73.2505617978       1.0                 1.0                 2                   2.0                 -1.0                -1                                      
0.003          907       4         0         93        0.907               97.6593164278       1                   2                   3.0                 3                   -1                  -1.5                                    
0.003          893       2         0         107       0.893               93.3113101904       1                   1                   2                   2.0                 -1                  -1                                      
0.003          900       1         0         100       0.9                 118.705555556       1.0                 1.0                 3.0                 3                   -1                  -1.0                                    
0.003          900       1         0         100       0.9                 92.8011111111       1.0                 1.0                 3.0                 3                   -1                  -1                                      
0.003          900       2         0         100       0.9                 93.7877777778       1.0                 1.0                 3.0                 2.0                 -1.0                -1                                      
0.003          905       2         0         95        0.905               123.881767956       1                   1                   3.0                 2.0                 -1                  -1.5                                    
0.003          910       2         0         90        0.91                81.843956044        1.0                 1.0                 2                   2.0                 -1                  -1.0                                    
0.003          919       1         0         81        0.919               92.5505984766       1                   1                   2                   2.0                 -1.0                -1                                      
0.003          891       3         0         109       0.891               75.5667789001       1                   1                   2.0                 2.0                 -1.0                -1.0                                    
0.003          906       1         0         94        0.906               141.913907285       2.0                 1.0                 3                   2                   -1                  -1.5                                    
0.003          905       2         0         95        0.905               181.849723757       2                   1                   3                   2.0                 -1.0                -1                                      
0.003          894       2         0         106       0.894               115.623042506       1.0                 1.0                 3                   2                   -1                  -1                                      
0.003          903       2         0         97        0.903               81.8316722038       1                   1                   2.0                 2                   -1.0                -1                                      
0.003          918       1         0         82        0.918               95.8235294118       1.0                 1.0                 2.0                 2                   -1                  -1                                      
